Actual Average Arrival Rate: 2.00853
Actual Average Service Time: 0.997537
1000 Processes
109 61.922 0.263221
110 61.9605 1.00259
111 62.0871 1.05306
112 62.4445 3.55665
113 62.6087 0.789894
114 63.2439 0.120227
115 63.5628 0.897812
116 65.0068 0.599507
117 65.2118 1.8818
118 65.4969 0.00323669
119 65.7084 0.912501
120 66.604 0.266432
121 67.1667 0.659616
122 67.4955 0.36378
123 68.1181 0.201573
124 68.6043 0.0417227
125 68.8715 1.19067
126 69.4318 1.01512
127 69.645 0.204104
128 70.1146 0.9866
129 70.7706 0.398054
130 71.445 0.225913
131 72.7136 1.15441
132 73.243 0.297417
133 73.6232 0.0917246
134 73.774 2.0987
135 74.3534 0.0984293
136 74.4124 0.448792
137 74.8422 0.899462
138 75.3914 0.34077
139 76.1389 0.34021
140 76.3389 0.210414
141 78.4179 0.00358499
142 79.2963 0.402688
143 79.4006 0.573583
144 80.9932 2.51245
145 81.7171 1.2009
146 81.7816 1.15768
147 82.0237 1.48843
148 83.4565 2.48019
149 84.4465 0.227589
150 85.2356 0.794166
151 85.412 2.35317
152 86.614 2.07131
153 86.9587 0.858493
154 87.0475 0.320083
155 88.0472 0.678059
156 88.3587 1.89009
157 88.7013 0.343975
158 88.8008 1.15258
159 89.4509 0.149728
160 89.913 0.678104
161 90.8235 1.28827
162 90.9216 0.250984
163 91.2667 0.129265
164 91.3411 0.446979
165 91.5375 2.68671
166 92.7331 0.973114
167 93.6396 1.70445
168 93.9822 0.407926
169 94.2329 1.07538
170 94.7023 0.299628
171 94.7843 0.075311
172 94.8413 1.04187
173 95.0673 0.340056
174 95.2686 0.0955737
175 95.5473 2.72562
176 95.9853 0.308513
177 96.5229 1.43455
178 96.857 0.171111
179 97.93 0.982605
180 98.2946 0.232996
181 98.7023 0.555473
182 99.5881 0.501516
183 99.7282 0.394545
184 100.382 1.01792
185 102.476 0.412857
186 103.616 0.146269
187 103.88 0.00542323
188 104.645 1.48893
189 104.819 0.121792
190 105.822 1.27656
191 105.847 0.596211
192 107.998 1.23069
193 108.117 0.642253
194 109.119 0.0986271
195 109.171 0.482718
196 109.351 1.07037
197 110.179 0.14122
198 110.205 0.0549022
199 110.511 1.51808
200 111.1 0.584401
201 111.163 0.890712
202 111.596 0.754808
203 112.048 0.449287
204 112.229 2.19574
205 112.553 0.186113
206 113.023 0.746015
207 113.505 0.906826
208 113.639 1.77083
209 113.675 0.10407
210 114.962 0.185907
211 115.29 0.255526
212 116.167 0.343658
213 116.388 2.10601
214 116.599 1.68691
215 117.137 0.0370037
216 117.286 1.50624
217 117.777 1.80852
218 117.962 0.249756
219 118.072 0.94789
220 118.13 1.12272
221 118.892 1.27105
222 119.004 0.512807
223 119.194 0.569176
224 119.325 0.48735
225 119.706 0.168092
226 120.111 0.0146867
227 120.35 0.481537
228 120.532 1.33715
229 120.683 1.04885
230 121.085 2.52063
231 121.664 1.6596
232 122.263 0.373894
233 122.782 0.00602287
234 123.162 1.85732
235 123.644 1.02916
236 124.01 0.512008
237 124.234 1.26893
238 125.044 1.13262
239 125.127 0.0334458
240 125.16 1.15748
241 125.264 0.964847
242 125.866 0.838939
243 125.867 0.0057255
244 126.049 0.303229
245 126.581 1.9488
246 126.681 0.41757
247 127.232 2.11204
248 127.761 0.375755
249 128.843 0.20612
250 128.928 0.700093
251 129.811 1.12594
252 130.984 0.212094
253 131.235 1.2244
254 132.251 0.79274
255 132.922 2.6954
256 133.055 2.6115
257 133.456 2.70935
258 133.797 0.804232
259 135.196 1.60767
260 136.038 0.902628
261 136.573 5.36018
262 137.946 0.392363
263 138.983 0.889543
264 139.491 1.4243
265 140.238 1.58431
266 140.39 0.927298
267 140.708 0.182667
268 141.502 2.00311
269 142.533 1.09188
270 142.799 0.9467
271 143.254 1.03733
272 143.64 0.16057
273 144.073 0.0335189
274 144.676 0.730124
275 145.57 0.723708
276 145.63 0.672972
277 145.987 0.0497153
278 146.829 0.485578
279 147.336 0.601703
280 147.414 0.532863
281 147.556 0.522167
282 147.565 1.26442
283 147.991 1.67636
284 148.428 0.591932
285 148.753 5.33184
286 148.783 0.0771623
287 149.295 0.909513
288 149.421 0.248189
289 149.918 2.57063
290 150.588 0.621482
291 150.876 1.90104
292 152.402 2.97418
293 153.548 1.45678
294 153.751 0.769472
295 153.875 0.649228
296 155.371 0.627675
297 156.449 3.41967
298 156.551 0.612561
299 157.308 1.45435
300 158.484 0.297847
301 159.201 3.31057
302 159.403 0.514798
303 159.814 0.808442
304 160.301 0.211991
305 160.626 0.446451
306 161.156 2.48318
307 161.275 0.932781
308 162.277 0.116284
309 162.511 0.221898
310 163.031 0.898185
311 163.596 0.907184
312 163.626 0.822964
313 164.041 0.277898
314 164.05 0.421353
315 164.055 2.57298
316 164.515 1.47266
317 165.606 2.70714
318 165.701 0.594174
319 166.035 1.58587
320 166.545 3.37207
321 166.629 0.346568
322 167.698 0.45575
323 168.847 1.37689
324 169.17 0.318811
325 170.635 0.13048
326 171.639 0.976026
327 172.273 2.58415
328 172.375 0.331681
329 172.466 0.226872
330 172.958 0.193875
331 173.026 0.25819
332 174.494 0.0139633
333 174.582 0.127821
334 174.891 1.04567
335 176.125 0.106313
336 176.601 0.0731698
337 176.852 0.686034
338 177.139 0.346976
339 177.278 2.43487
340 177.696 0.211597
341 177.714 0.565358
342 178.554 1.39992
343 178.775 6.19967
344 178.793 0.741389
345 178.905 1.08409
346 179.507 0.396926
347 180.607 1.04047
348 180.816 0.05147
349 181.544 1.62623
350 182.144 1.14546
351 183.316 0.375333
352 184.015 0.353727
353 184.843 0.209566
354 185.29 0.0549203
355 185.344 0.171115
356 185.484 0.14638
357 185.929 0.0598055
358 187.03 2.90958
359 187.059 2.5932
360 187.376 0.297018
361 187.818 0.18493
362 188.257 0.646941
363 189.102 2.6046
364 189.476 0.872872
365 190.13 0.255196
366 190.283 1.00399
367 190.669 0.0167908
368 192.01 0.427015
369 192.125 0.739461
370 192.381 0.366968
371 192.951 1.03601
372 193.244 0.313372
373 193.851 0.404803
374 193.972 1.42382
375 194.121 1.15067
376 194.129 1.86512
377 195.086 0.918199
378 195.28 1.1025
379 195.654 1.88388
380 195.798 0.296021
381 195.836 0.722333
382 196.939 0.945233
383 197.317 1.72222
384 198.914 1.33464
385 199.125 0.446197
386 199.147 0.0241525
387 199.15 0.667975
388 199.323 1.2319
389 200.181 0.708077
390 200.496 0.0814898
391 200.602 0.660967
392 201.886 0.0443644
393 201.93 0.28085
394 202.552 0.944796
395 202.6 3.25879
396 203.611 0.181635
397 203.934 1.41585
398 204.685 0.00700459
399 205.117 1.33356
400 205.798 2.55841
401 205.849 1.54948
402 207.312 0.107007
403 207.473 0.273544
404 208.303 0.0998676
405 208.989 0.324642
406 209.085 2.77602
407 209.8 0.10168
408 211.784 1.86609
409 211.993 1.17916
410 212.298 0.569865
411 212.829 0.391537
412 213.288 0.139234
413 213.33 0.474811
414 213.404 1.07845
415 213.464 2.12597
416 213.901 0.236816
417 214.453 0.752653
418 214.64 2.86861
419 215.371 0.130207
420 215.391 0.723474
421 215.645 0.237706
422 215.947 0.174546
423 216.131 0.568734
424 216.134 1.04921
425 216.201 0.619802
426 216.245 1.51527
427 217.016 1.15416
428 218.221 2.01889
429 218.254 0.048332
430 218.628 0.194961
431 219.943 0.116
432 220.188 0.906814
433 220.697 1.20511
434 221.084 0.521912
435 221.948 0.861988
436 223.221 0.250676
437 224 0.468726
438 224.24 0.102576
439 225.065 0.489917
440 225.753 2.72085
441 226.699 1.78059
442 227.326 1.00842
443 227.689 0.979918
444 228.038 0.864677
445 228.595 0.0299194
446 229.3 0.915557
447 229.375 0.155417
448 229.484 1.50242
449 230.414 1.3292
450 230.515 1.09873
451 230.703 0.111576
452 231.8 0.107845
453 232.126 0.31515
454 232.238 0.339307
455 232.774 2.93748
456 232.899 0.707073
457 233.653 2.75434
458 233.729 0.348992
459 234.141 1.03429
460 235.175 0.26507
461 235.735 0.992522
462 236.628 1.67663
463 237.371 0.0288652
464 237.817 0.961242
465 238.538 1.48914
466 238.706 0.0798589
467 239.766 0.189615
468 239.864 0.445953
469 240.157 0.475958
470 240.678 0.106123
471 240.875 2.03592
472 241.343 0.110009
473 242.163 1.38517
474 242.417 0.456963
475 242.668 0.317714
476 243.125 0.0706744
477 244.284 0.565984
478 245.35 1.12347
479 245.658 0.637975
480 245.831 0.254138
481 245.973 0.859724
482 246.152 0.134766
483 246.844 0.654226
484 247.176 0.213795
485 248.155 0.143164
486 248.329 0.204049
487 248.33 2.31033
488 248.501 1.65348
489 249.026 1.16324
490 249.123 0.0457607
491 250.729 1.49191
492 250.789 1.97519
493 250.905 5.1492
494 251.289 1.10234
495 251.602 1.76344
496 252.717 1.24447
497 252.976 0.215042
498 253.886 0.168076
499 254.446 0.391343
500 254.66 0.760386
501 254.965 1.02267
502 255.596 0.616311
503 255.986 0.00586033
504 256.142 0.212736
505 256.733 0.587162
506 256.868 1.05868
507 256.992 0.429744
508 257.353 0.555843
509 257.564 0.0517842
510 257.613 1.65734
511 258.669 4.31577
512 259.037 0.334466
513 259.137 0.445111
514 259.426 1.92267
515 260 1.54265
516 260.244 0.151216
517 260.522 0.109135
518 260.981 3.43251
519 261.039 2.03324
520 261.126 1.62254
521 261.314 0.503658
522 261.618 0.760018
523 262.301 3.50796
524 263.895 0.0926947
525 263.905 0.0545336
526 265.046 2.29781
527 265.066 0.543252
528 265.168 0.248273
529 265.921 0.974957
530 265.96 0.618947
531 266.223 0.616069
532 266.683 1.80504
533 267.097 0.225938
534 267.91 1.11645
535 267.947 3.28478
536 268.27 0.485335
537 268.491 2.67154
538 269.735 0.108971
539 270.891 2.08429
540 270.997 2.54344
541 272.317 0.0939316
542 273.177 3.45443
543 273.533 0.00473772
544 273.637 0.33854
545 274.131 0.303657
546 274.821 0.0371785
547 275.461 0.431561
548 276.489 0.335681
549 276.891 1.12472
550 278.473 0.978325
551 278.981 0.567172
552 278.985 5.5319
553 279.211 2.59588
554 279.263 0.307373
555 280.071 0.34398
556 280.174 1.30823
557 280.413 0.00697847
558 281.012 2.20284
559 281.018 2.17458
560 281.115 1.01943
561 281.195 2.59533
562 281.758 2.04063
563 281.92 0.79346
564 282.004 1.76388
565 282.13 0.11981
566 282.432 1.97173
567 282.826 0.618503
568 283.798 2.40254
569 284.043 3.12609
570 284.138 0.207877
571 284.28 0.446544
572 285.527 0.988539
573 285.756 0.955788
574 286.12 0.476101
575 286.468 1.18447
576 286.477 1.05001
577 286.961 1.18316
578 287.328 2.25717
579 287.466 1.12492
580 288.109 0.624354
581 288.886 0.194382
582 289.082 0.406489
583 289.59 0.200896
584 289.73 0.0248825
585 289.804 0.540707
586 289.923 0.486591
587 290.675 0.138875
588 290.682 0.156591
589 291.366 0.756198
590 291.737 0.283676
591 291.864 0.780325
592 293.001 1.85862
593 293.135 0.539866
594 293.807 0.647887
595 293.856 0.622581
596 295.273 2.12632
597 295.784 0.309819
598 295.905 0.325737
599 296.202 0.612985
600 296.383 0.883186
601 297.426 0.723295
602 299.211 1.06062
603 299.728 4.19835
604 300.529 0.49375
605 300.891 0.389274
606 301.398 1.34775
607 302.396 0.762951
608 302.835 0.104949
609 304.342 0.3912
610 304.771 0.044348
611 305.545 0.729235
612 306.834 0.557385
613 307.601 0.149481
614 308.212 0.264702
615 308.666 0.0079113
616 309.521 0.640641
617 309.891 1.56504
618 309.959 0.183011
619 310.706 2.5971
620 311.113 0.344508
621 311.256 0.215131
622 311.272 0.11896
623 311.922 0.956838
624 312.041 1.1337
625 313.444 1.55242
626 314.084 1.29772
627 314.266 1.03745
628 314.35 0.0944532
629 315.117 1.96213
630 315.312 0.480624
631 316.322 0.152914
632 317.286 0.494379
633 318.636 3.98746
634 319.043 1.23311
635 320.231 0.121263
636 320.231 0.168332
637 320.415 0.032165
638 320.57 0.0356675
639 321.091 0.651754
640 321.716 0.884785
641 321.871 0.570469
642 322.06 0.851257
643 322.102 0.631459
644 322.646 2.00154
645 322.844 4.26487
646 322.986 0.216848
647 323.054 0.10661
648 323.494 0.0623637
649 323.537 0.153488
650 324.27 4.56032
651 324.418 1.46586
652 324.496 0.830691
653 325.303 0.530265
654 325.76 0.594791
655 326.865 0.37468
656 326.884 0.171447
657 327.571 0.43011
658 328.227 1.75802
659 329.078 0.500757
660 329.668 0.15709
661 329.907 2.79628
662 330.115 0.708499
663 330.135 2.59452
664 330.555 0.130865
665 330.59 0.411207
666 330.65 0.391705
667 330.706 0.29662
668 331.802 2.37566
669 332.354 0.668725
670 332.573 0.817905
671 333.378 0.495753
672 334.008 0.792658
673 334.682 0.592173
674 334.917 0.816893
675 335.836 0.0698457
676 336.444 0.249332
677 336.447 0.0448837
678 337.099 0.0476291
679 338.839 0.351505
680 338.932 0.0375125
681 339.434 0.330425
682 339.658 1.34628
683 340.044 0.286699
684 340.564 0.231024
685 341.232 0.00221166
686 341.956 0.770093
687 342.205 0.656091
688 342.249 0.143348
689 343.565 0.61501
690 344.153 1.46449
691 344.527 0.503049
692 346.805 0.761967
693 347.094 1.26506
694 347.528 0.524953
695 347.535 1.38207
696 347.829 1.04319
697 347.845 1.64066
698 348.09 0.840208
699 348.118 0.0349091
700 348.863 1.57172
701 348.882 0.775625
702 349.082 0.561441
703 349.092 0.533978
704 349.506 2.97022
705 350.538 0.294245
706 351.17 0.510698
707 351.696 1.22757
708 353.049 0.0936842
709 353.325 0.719371
710 353.669 0.577899
711 353.821 2.86613
712 353.867 0.345604
713 354.558 0.642573
714 355.543 1.63291
715 355.898 1.00853
716 356.353 0.787206
717 356.449 2.60767
718 358.283 0.217582
719 358.491 0.771454
720 358.569 0.239682
721 359.355 1.97875
722 359.83 0.584811
723 360.251 0.790147
724 360.631 5.04023
725 360.661 0.0305263
726 360.944 0.387203
727 362.753 0.731987
728 363.228 1.28149
729 365.717 0.642152
730 366.091 0.696111
731 366.149 0.132354
732 366.173 0.333959
733 366.198 0.0210846
734 366.525 0.49477
735 366.934 0.977372
736 367.396 0.432461
737 367.728 0.243929
738 368.518 0.055739
739 369.237 0.394669
740 369.262 1.72508
741 369.482 0.654298
742 369.559 0.399446
743 373.151 1.41117
744 373.177 4.87325
745 373.308 0.864416
746 373.648 0.414109
747 374.255 0.776956
748 374.743 1.3981
749 375.154 0.108079
750 375.232 0.127361
751 375.879 1.37293
752 376.197 0.237755
753 377.847 0.307276
754 378.001 1.29379
755 378.448 0.376237
756 378.845 2.93391
757 379.634 1.1728
758 379.796 1.57501
759 380.091 0.397207
760 380.861 1.12895
761 382.046 0.327362
762 382.054 0.939507
763 382.909 1.01801
764 383.134 0.478737
765 383.81 0.703882
766 384.156 0.629748
767 384.302 3.52992
768 384.869 0.242156
769 385.004 2.89492
770 386.417 1.74809
771 386.567 0.67031
772 387.307 0.0534117
773 387.406 0.0500581
774 388.338 0.982421
775 388.575 0.995202
776 388.754 0.332872
777 389.956 0.382614
778 391.07 1.30528
779 392.639 0.29361
780 392.697 1.19647
781 393.41 0.939958
782 393.5 0.0118148
783 393.934 1.85722
784 394.062 1.68899
785 394.839 0.1835
786 395.352 0.0479801
787 395.886 0.534255
788 395.938 1.80211
789 396.248 2.87995
790 396.557 1.82853
791 396.984 1.43915
792 397.049 0.661149
793 397.091 0.0149176
794 397.211 0.0381239
795 397.368 0.388582
796 398.032 0.0294398
797 399.371 2.30421
798 399.392 0.716183
799 400.073 0.311384
800 400.271 0.76067
801 400.557 3.43791
802 400.99 0.0957559
803 401.23 1.1343
804 402.535 1.86099
805 403.022 0.489408
806 403.597 0.218688
807 403.678 1.64156
808 404.248 0.262245
809 405.109 2.2332
810 405.265 0.0947153
811 405.386 0.00323628
812 405.449 0.157983
813 406.618 0.174514
814 407.154 1.04256
815 407.433 4.14785
816 407.532 1.98717
817 409.051 1.42541
818 410.593 0.406213
819 410.881 2.12525
820 410.98 0.062041
821 411.135 1.98157
822 411.283 0.540408
823 411.836 2.76072
824 412.358 0.672555
825 413.243 2.47992
826 413.676 0.0453804
827 414.936 1.20179
828 415.042 1.7309
829 416.023 1.88403
830 416.34 0.338528
831 417.233 1.05103
832 417.314 1.53384
833 417.578 0.110184
834 417.641 1.88357
835 419.738 0.351603
836 420.932 0.291067
837 421.018 0.179955
838 421.573 1.75479
839 421.626 0.383005
840 421.817 2.67386
841 421.95 2.26933
842 423.802 0.167145
843 424.255 0.18138
844 426.137 0.60778
845 426.144 0.592619
846 426.823 1.87165
847 426.874 2.23233
848 427.372 0.708373
849 430.285 1.38051
850 430.505 4.01626
851 430.528 0.306004
852 430.661 0.227626
853 430.941 2.34903
854 430.957 0.754499
855 431.083 0.426617
856 431.391 0.61096
857 431.531 0.572965
858 432.003 1.83176
859 432.464 0.886468
860 432.639 0.956944
861 432.657 0.0386701
862 432.967 0.142206
863 434.301 0.0970499
864 434.812 2.62701
865 435.732 5.43082
866 436.934 2.17183
867 437.084 0.155719
868 437.131 1.1633
869 437.156 0.128109
870 437.278 0.316724
871 437.594 1.13341
872 438.246 1.24283
873 438.306 0.415109
874 438.707 1.25965
875 440.02 1.87478
876 440.222 3.28707
877 441.301 1.58108
878 441.351 1.68846
879 442.44 1.32918
880 443.119 1.30113
881 443.776 1.05724
882 444.252 4.62176
883 445.048 1.21543
884 445.614 1.86773
885 446.482 2.25389
886 446.544 0.344165
887 446.97 1.86842
888 446.971 1.16249
889 447.074 0.807267
890 447.332 0.119897
891 447.588 1.33076
892 447.627 0.335584
893 448.005 0.187317
894 448.058 0.539064
895 449.241 1.85265
896 449.319 1.0135
897 449.661 1.42001
898 450.154 0.346096
899 450.464 0.363741
900 450.538 0.335983
901 450.65 0.294474
902 451.079 1.48287
903 451.133 0.865539
904 451.441 0.336976
905 451.512 1.994
906 451.767 0.76279
907 452.225 0.643761
908 453.078 0.138736
909 453.597 2.51321
910 453.992 0.802143
911 454.71 1.17354
912 454.815 0.298323
913 455.113 1.69231
914 455.513 2.41605
915 455.577 1.1666
916 455.686 0.386799
917 457.124 1.48124
918 457.173 0.0453759
919 457.39 0.807654
920 457.591 0.663432
921 457.861 1.30748
922 457.871 0.0176751
923 457.985 1.81567
924 458.064 1.89507
925 458.77 1.18192
926 459.027 0.730715
927 459.269 0.891627
928 460.018 1.79013
929 460.278 0.395814
930 460.959 0.748134
931 460.967 2.81139
932 461.907 3.19653
933 462.531 2.8355
934 462.532 0.0665048
935 462.874 0.406307
936 463.273 2.44594
937 463.306 0.838906
938 464.642 0.311399
939 464.901 0.0811418
940 464.964 0.175965
941 465.701 0.731048
942 466.271 0.168761
943 466.328 0.609105
944 468.554 0.722627
945 469.318 1.31728
946 469.339 1.60184
947 469.897 2.19642
948 470.605 0.485384
949 471.492 1.43141
950 471.789 0.393811
951 471.839 6.28818
952 471.976 0.17235
953 472.393 0.186026
954 472.671 3.5421
955 472.813 0.783433
956 472.884 0.0191144
957 472.916 1.67232
958 473.011 0.186773
959 473.168 0.177421
960 473.745 0.0527486
961 474.871 1.29524
962 475.819 0.836389
963 476.296 0.935032
964 477.807 0.588929
965 478.036 0.511072
966 478.773 0.622462
967 479.027 0.00951526
968 479.513 3.33116
969 479.611 0.0487578
970 480.98 0.556701
971 481.427 0.0700964
972 481.722 1.05703
973 482.782 0.967738
974 483.647 0.160445
975 484.41 0.708819
976 484.522 1.13116
977 484.655 0.0507389
978 484.795 1.88989
979 485.33 0.217331
980 485.504 0.0256819
981 485.956 0.0667677
982 486.292 5.07901
983 486.33 0.117014
984 487.916 0.29206
985 488.002 2.2379
986 488.572 1.38138
987 490.194 0.134693
988 490.45 1.83821
989 491.136 0.253814
990 493.397 0.752272
991 494.055 0.209181
992 494.17 3.37794
993 494.306 0.598049
994 495.15 2.25498
995 495.668 0.11517
996 496.934 0.275671
997 497.029 0.526299
998 497.163 0.284262
999 497.529 0.214101
1000 497.877 1.13213
